market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,1,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Online TA,0,2,No Deposit,0,Transient,A,0,2,0
Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
Groups,0,0,Non Refund,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,1,1
Groups,1,0,Non Refund,0,Contract,A,0,0,1
Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Groups,1,0,Non Refund,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,0,1
Offline TA/TO,0,0,Non Refund,3,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,D,1,0,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,0,Non Refund,39,Transient,A,0,0,1
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,Non Refund,0,Transient,A,0,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,2,0
Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,1
Offline TA/TO,1,0,No Deposit,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,1
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,1
Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
Complementary,0,0,No Deposit,0,Transient,B,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,1,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,E,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Corporate,0,0,Non Refund,0,Transient-Party,E,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Groups,0,1,No Deposit,0,Transient-Party,D,0,0,0
